Year,Month,Day,Hour,Minute,Second,Temperature,Humidity
2024,12,22,23,50,43,26.0,48
2024,12,22,23,51,8,26.0,48
2024,12,22,23,51,33,25.9,48
2024,12,22,23,51,58,25.9,48
2024,12,22,23,52,24,25.9,48
2024,12,22,23,52,49,25.9,49
2024,12,22,23,53,14,25.9,48
2024,12,22,23,53,39,25.8,48
2024,12,22,23,54,4,25.8,48
2024,12,22,23,54,29,25.8,48
2024,12,22,23,55,37,25.8,50
2024,12,22,23,56,3,26.0,48
2024,12,22,23,56,28,25.9,48
2024,12,22,23,56,53,25.9,48
2024,12,22,23,57,18,25.9,48
2024,12,22,23,57,47,25.8,48
2024,12,22,23,58,12,25.8,48
2024,12,22,23,58,38,25.8,48
2024,12,22,23,59,3,25.9,51
2024,12,22,23,59,28,25.9,48
2024,12,22,23,59,53,25.9,49
